| id  | pathid | xtl  | ytl  | xbr  | ybr  | frame | occluded | outside |
+-----+--------+------+------+------+------+-------+----------+---------+
|  37 |      4 |  111 |   90 |  162 |  141 |    88 |        0 |       0 |
|  38 |      4 |   82 |   87 |  133 |  138 |    89 |        0 |       0 |
|  40 |      4 |  104 |   91 |  155 |  142 |    82 |        0 |       0 |
|  41 |      4 |   99 |   88 |  150 |  139 |    83 |        0 |       0 |
|  42 |      4 |   76 |  116 |  127 |  167 |    80 |        0 |       0 |
|  43 |      4 |   83 |   89 |  134 |  140 |    81 |        0 |       0 |
|  44 |      4 |  101 |   86 |  152 |  137 |    86 |        0 |       0 |
|  45 |      4 |   81 |   86 |  132 |  137 |    87 |        0 |       0 |
|  46 |      4 |  102 |   88 |  153 |  139 |    84 |        0 |       0 |
|  47 |      4 |   82 |   86 |  133 |  137 |    85 |        0 |       0 |
|  48 |      4 |   98 |   19 |  148 |   69 |   224 |        0 |       0 |
|  49 |      4 |   85 |   22 |  136 |   73 |   223 |        0 |       0 |
|  50 |      4 |   71 |   25 |  122 |   76 |   222 |        0 |       0 |
|  52 |      4 |   81 |  134 |  132 |  185 |    79 |        0 |       0 |
|  53 |      4 |  111 |  113 |  162 |  164 |    78 |        0 |       0 |
|  54 |      4 |   54 |   25 |  105 |   76 |   221 |        0 |       0 |
|  55 |      4 |  130 |  110 |  181 |  161 |    98 |        0 |       0 |
|  56 |      4 |   72 |   87 |  123 |  138 |    91 |        0 |       0 |
|  57 |      4 |  112 |   90 |  163 |  141 |    90 |        0 |       0 |
|  58 |      4 |   81 |   92 |  132 |  143 |    93 |        0 |       0 |
|  59 |      4 |  105 |   90 |  156 |  141 |    92 |        0 |       0 |
|  60 |      4 |  134 |  124 |  185 |  175 |    95 |        0 |       0 |
|  61 |      4 |  119 |  115 |  170 |  166 |    94 |        0 |       0 |
|  62 |      4 |  124 |  112 |  175 |  163 |    97 |        0 |       0 |
|  63 |      4 |  124 |  119 |  175 |  170 |    96 |        0 |       0 |
|  64 |      5 |   53 |    4 |  101 |   50 |   407 |        0 |       0 |
|  65 |      5 |   50 |  187 |  100 |  236 |   289 |        0 |       0 |
|  66 |      5 |   47 |  187 |   97 |  236 |   288 |        0 |       0 |
|  67 |      5 |  183 |  193 |  230 |  239 |   346 |        0 |       0 |
|  68 |      5 |  186 |  195 |  233 |  239 |   347 |        0 |       0 |
|  69 |      5 |  189 |  149 |  236 |  198 |   340 |        0 |       0 |
|  70 |      5 |  185 |  152 |  232 |  201 |   341 |        0 |       0 |
|  71 |      5 |  179 |  162 |  226 |  211 |   342 |        0 |       0 |
|  72 |      5 |  177 |  169 |  224 |  218 |   343 |        0 |       0 |
|  73 |      5 |   49 |  188 |  100 |  238 |   281 |        0 |       0 |
|  74 |      5 |   51 |  188 |  102 |  238 |   280 |        0 |       0 |
|  75 |      5 |   50 |  187 |  101 |  237 |   283 |        0 |       0 |
|  76 |      5 |   50 |  188 |  101 |  238 |   282 |        0 |       0 |
|  77 |      5 |   49 |  186 |  100 |  236 |   285 |        0 |       0 |
|  78 |      5 |   49 |  187 |  100 |  237 |   284 |        0 |       0 |
|  79 |      5 |   49 |  188 |   99 |  237 |   287 |        0 |       0 |
|  80 |      5 |   51 |  186 |  101 |  235 |   286 |        0 |       0 |
|  81 |      5 |  129 |   94 |  177 |  140 |   421 |        0 |       0 |
|  82 |      5 |  109 |  104 |  157 |  150 |   420 |        0 |       0 |
|  83 |      5 |  196 |   62 |  245 |  110 |   442 |        0 |       0 |
|  84 |      5 |  144 |   65 |  192 |  111 |   423 |        0 |       0 |
|  85 |      5 |  138 |   86 |  186 |  132 |   422 |        0 |       0 |
|  86 |      5 |  166 |   40 |  214 |   86 |   425 |        0 |       0 |
|  87 |      5 |  160 |   45 |  208 |   91 |   424 |        0 |       0 |
|  88 |      5 |   69 |  194 |  118 |  239 |   379 |        0 |       0 |
|  89 |      5 |   68 |  194 |  117 |  239 |   378 |        0 |       0 |
|  90 |      5 |   73 |  107 |  121 |  153 |   416 |        0 |       0 |
|  91 |      5 |   77 |  114 |  125 |  160 |   417 |        0 |       0 |
|  92 |      5 |   35 |   37 |   83 |   83 |   410 |        0 |       0 |
|  93 |      5 |   42 |   54 |   90 |  100 |   411 |        0 |       0 |
|  94 |      5 |   69 |  120 |  118 |  169 |   298 |        0 |       0 |
|  95 |      5 |   69 |  113 |  118 |  162 |   299 |        0 |       0 |
|  96 |      5 |   71 |  191 |  120 |  239 |   371 |        0 |       0 |
|  97 |      5 |   77 |  190 |  126 |  239 |   370 |        0 |       0 |
|  98 |      5 |   49 |  187 |   99 |  236 |   294 |        0 |       0 |
|  99 |      5 |   64 |  191 |  113 |  239 |   372 |        0 |       0 |
| 100 |      5 |   62 |  191 |  111 |  239 |   375 |        0 |       0 |
| 101 |      5 |   65 |  191 |  114 |  239 |   374 |        0 |       0 |
| 102 |      5 |   66 |  193 |  115 |  239 |   377 |        0 |       0 |
| 103 |      5 |   64 |  190 |  113 |  238 |   376 |        0 |       0 |
| 104 |      5 |  109 |   80 |  156 |  129 |   319 |        0 |       0 |
| 105 |      5 |   92 |   69 |  139 |  118 |   318 |        0 |       0 |
| 106 |      5 |    8 |   84 |   55 |  133 |   313 |        0 |       0 |
| 107 |      5 |    0 |   82 |   47 |  131 |   312 |        0 |       0 |
| 108 |      5 |   74 |   73 |  121 |  122 |   317 |        0 |       0 |
| 109 |      5 |   72 |   78 |  119 |  127 |   316 |        0 |       0 |
| 110 |      5 |   49 |   84 |   96 |  133 |   315 |        0 |       0 |
| 111 |      5 |   21 |   84 |   68 |  133 |   314 |        0 |       0 |
| 112 |      5 |  157 |   36 |  205 |   84 |   393 |        0 |       0 |
| 113 |      5 |  157 |   51 |  205 |   99 |   392 |        0 |       0 |
| 114 |      5 |  154 |   58 |  202 |  106 |   391 |        0 |       0 |
